# HOUSING (IT)
House.DBHousePermissions.AccessLevel:			Livello di accesso {0}
HousingPlaceItemHandler.GardenObjectPlacedName:		Lascia l'oggetto {0} nel tuo giardino.
HousingPlaceItemHandler.HasPorch:				Questa casa ha già una veranda!
HousingPlaceItemHandler.HasNoPorch:				Questa casa non ha una veranda!
HousingPlaceItemHandler.IndoorObjectPlaced:			Oggetto interno posizionato. {0} posti rimanenti.
HousingPlaceItemHandler.NoHookpoint:				Nessun punto di ancoraggio disponibile!
HousingPlaceItemHandler.PutMoney:				Deposita denaro nel conto della tua casa.
HousingPlaceItemHandler.NotOtherHouse:          Non puoi modificare le case di altre persone.
HousingPlaceItemHandler.WarningRemoveAll:       Attenzione: Questo rimuoverà *tutti* gli oggetti dalla tua casa attuale!
HousingPlaceItemHandler.UpgradeConfirm:         Sei sicuro di voler potenziare la tua casa?
HousingPlaceItemHandler.MustBeGuildMember:      Devi essere membro di una gilda per farlo.
HousingPlaceItemHandler.GuildAlreadyOwnsHouse:  La tua gilda possiede già una casa.
HousingPlaceItemHandler.MustRemoveMerchant:     Devi prima rimuovere il mercante in conto vendita.
HousingPlaceItemHandler.NeedsPorchFirst:        La tua casa ha prima bisogno di un portico.
HousingPlaceItemHandler.CannotAddMerchant:      Non puoi aggiungere un mercante in conto vendita qui.
HousingPlaceItemHandler.UseAddHookpoints:       Usa '/house addhookpoints' per consentire l'aggiunta di nuovi punti di ancoraggio.
HousingPlaceItemHandler.CannotAddMoreVaults:    Non puoi aggiungere altri forzieri a questa casa!
HousingPlaceItemHandler.UnknownMethod:          Posiziona Oggetto: Metodo sconosciuto, nessuna azione.
HousingPlaceItemHandler.ErrorProcessing:        Errore durante l'elaborazione dell'azione della casa; l'errore è stato registrato!
HousingPlaceItemHandler.NoHouseSelected:        Nessuna casa selezionata!
HousingPlaceItemHandler.NeedRemovalDeed:        Hai bisogno di un Atto di Rimozione della Casa per questo.
HousingPlaceItemHandler.HouseRemoved:           La tua casa è stata rimossa!
HousingPlaceItemHandler.NeedHouseDeed:          Questo non funziona senza un Atto di Proprietà della Casa.

# /Housing LotMarker
Housing.LotMarker.TargetLotNumber:				Stai mirando al lotto numero {0}.
Housing.LotMarker.ItCanBeBoughtFor:				Può essere acquistato per {0}.
Housing.LotMarker.ItIsOwnedBy:				Questo lotto appartiene a {0}.
Housing.LotMarker.YouAlreadyOwnAHouse:			Possiedi già una casa!
Housing.LotMarker.DoYouWantToBuyThisLot1:			Vuoi acquistare questo lotto?
Housing.LotMarker.DoYouWantToBuyThisLot2:			Il costo è {0}.
Housing.LotMarker.YouDoNotOwnThisLot:				Non sei il proprietario di questo lotto!
Housing.LotMarker.YouAlreadyOwnAnotherLotOrHouse:	Possiedi già un altro lotto o una casa (n. {0}).
Housing.LotMarker.YouJustBoughtThisLotFor:			Hai appena acquistato questo lotto per {0}.
Housing.LotMarker.YouDontHaveEnoughMoney:			Fondi insufficienti!
Housing.LotMarker.ThisItemCantBeSold:				Questo oggetto non può essere venduto.
Housing.LotMarker.LotNotItem:					Questo non è un valido atto di proprietà.

Scripts.Player.Housing.BadShieldBanner:			Questo non è un oggetto o uno stendardo valido.
Scripts.Player.Housing.CarpetsRemoved:			Il tuo tappeto è stato rimosso.
Scripts.Player.Housing.ClearHookPoint:			Vuoi rimuovere l'oggetto dal punto di ancoraggio?
Scripts.Player.Housing.GardenMaxObjects:			Hai depositato 30 oggetti nel tuo giardino. Spazio esaurito.
Scripts.Player.Housing.GuildNowOwns:				[Gilda] {0} ora possiede una casa di gilda di {1}!
Scripts.Player.Housing.NotOwner:					Non sei il proprietario di questa casa!
Scripts.Player.Housing.NotGuildLeader:				Non sei il capo di una gilda!
Scripts.Player.Housing.ConsignmentNotEmpty:			Tutti gli oggetti e il denaro devono essere rimossi dal tuo mercante in conto vendita per poter trasferire questa casa!
Scripts.Player.Housing.RentPaidFromBank:			Sono stati prelevati {0} dal tuo conto bancario per il pagamento dell'affitto della casa.
Scripts.Player.Housing.TargetLotMarker:				Devi selezionare un indicatore del lotto per acquistare un atto di proprietà.
Scripts.Player.Housing.MerchantListNotFound:		Impossibile completare la transazione: elenco del mercante non trovato.
Scripts.Player.Housing.GuildHouseEvicted:			[Alloggi] La casa di gilda al lotto {0} è stata pignorata dal regno a causa dell'affitto non pagato!
Scripts.Player.Housing.PersonalHouseEvicted:		[Alloggi] La tua casa al lotto {0} è stata pignorata dal regno a causa dell'affitto non pagato!
Scripts.Player.Housing.HookPointAdded:				Questo oggetto è stato aggiunto alla tua casa.
Scripts.Player.Housing.HookPointAlready:			Quel punto di ancoraggio ha già un oggetto!
Scripts.Player.Housing.HookPointCleared:			Il punto di ancoraggio ora è vuoto.
Scripts.Player.Housing.HookPointCloser:			Avvicinati il più possibile al lotto desiderato e premi “accetta”.
Scripts.Player.Housing.HookPointID:				L'ID del punto di ancoraggio è: {0}
Scripts.Player.Housing.HookPointLogged:			Posizione del punto di ancoraggio {0} registrata!
Scripts.Player.Housing.HookPointLogLoc:			Mostrare i punti di ancoraggio?
Scripts.Player.Housing.HookPointNot:				Questo non è un oggetto utilizzabile sui punti di ancoraggio!
Scripts.Player.Housing.HookPointNotPlaced:			L'oggetto non è stato posizionato su quel punto di ancoraggio.
Scripts.Player.Housing.HouseUseMaterials:			Usa Maiusc+clic destro nella tua casa per modificare l'aspetto.
Scripts.Player.Housing.HouseUseCarpets:				Usa Maiusc+clic destro nella tua casa per cambiare i tappeti.
Scripts.Player.Housing.IndoorFloorPlaced:			Hai posizionato {0} al piano della tua casa.
Scripts.Player.Housing.IndoorMaxItems:			Attualmente hai posizionato {0} oggetti nella tua casa. Non puoi posizionarne altri.
Scripts.Player.Housing.IndoorWallPlaced:			Hai appena posizionato {0} sulla parete della tua casa.
Scripts.Player.Housing.InteriorBannersAdded:		Lo stendardo di gilda interno è stato cambiato.
Scripts.Player.Housing.InteriorBannersRemoved:		Lo stendardo di gilda interno è stato rimosso.
Scripts.Player.Housing.InteriorShieldsAdded:		Lo scudo di gilda interno è stato cambiato.
Scripts.Player.Housing.InteriorShieldsRemoved:		Lo scudo di gilda interno è stato rimosso.
Scripts.Player.Housing.NotFloorObject:			Questo oggetto non può essere posizionato al piano superiore!
Scripts.Player.Housing.NotHookPoint:				Questo oggetto non può essere posizionato su un punto di ancoraggio!
Scripts.Player.Housing.NotWallObject:				Questo oggetto non può essere posizionato sulla parete!
Scripts.Player.Housing.OutdoorBannersAdded:		Lo stendardo di gilda esterno è stato cambiato.
Scripts.Player.Housing.OutdoorBannersRemoved:		Lo stendardo di gilda esterno è stato rimosso.
Scripts.Player.Housing.OutdoorShieldsAdded:		Lo scudo di gilda esterno è stato cambiato.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Lo scudo di gilda esterno è stato rimosso.
Scripts.Player.Housing.PorchNotItem:				Questo non è un oggetto da veranda!
Scripts.Player.Housing.TransferToGuild:			Vuoi trasferire questa casa a {0}?

