# HOUSING (ES)
House.DBHousePermissions.AccessLevel:			Nivel de acceso {0}
HousingPlaceItemHandler.CantWall:				¡Este objeto no puede colocarse en una pared!
HousingPlaceItemHandler.DropOnFloor:				Deja el objeto {0} en el suelo de tu casa.
HousingPlaceItemHandler.DropOnGarden:				Deja el objeto {0} en tu jardín.
HousingPlaceItemHandler.DropOnWall:				Deja el objeto {0} en la pared de tu casa.
HousingPlaceItemHandler.GardenObjectPlaced:			Objeto de jardín colocado. Quedan {0} espacios.
HousingPlaceItemHandler.GardenObjectPlacedName:		Deja el objeto {0} en tu jardín.
HousingPlaceItemHandler.HasPorch:				¡Esta casa ya tiene porche!
HousingPlaceItemHandler.HasNoPorch:				¡Esta casa no tiene porche!
HousingPlaceItemHandler.IndoorObjectPlaced:			Objeto interior colocado. Quedan {0} espacios.
HousingPlaceItemHandler.NoHookpoint:				¡No queda punto de anclaje!
HousingPlaceItemHandler.PutMoney:				Deposita dinero en la cuenta de tu casa.
HousingPlaceItemHandler.NotOtherHouse:          No puedes modificar las casas de otras personas.
HousingPlaceItemHandler.WarningRemoveAll:       Advertencia: ¡Esto eliminará *todos* los artículos de tu casa actual!
HousingPlaceItemHandler.UpgradeConfirm:         ¿Estás seguro de que quieres mejorar tu casa?
HousingPlaceItemHandler.MustBeGuildMember:      Debes ser miembro de un gremio para hacer eso.
HousingPlaceItemHandler.GuildAlreadyOwnsHouse:  Tu gremio ya posee una casa.
HousingPlaceItemHandler.MustRemoveMerchant:     Primero debes retirar al comerciante de consignación.
HousingPlaceItemHandler.NeedsPorchFirst:        Tu casa necesita un porche primero.
HousingPlaceItemHandler.CannotAddMerchant:      No puedes añadir un comerciante de consignación aquí.
HousingPlaceItemHandler.UseAddHookpoints:       Usa '/house addhookpoints' para permitir la adición de nuevos puntos de anclaje.
HousingPlaceItemHandler.CannotAddMoreVaults:    ¡No puedes añadir más cámaras acorazadas a esta casa!
HousingPlaceItemHandler.UnknownMethod:          Colocar artículo: Método desconocido, no hacer nada.
HousingPlaceItemHandler.ErrorProcessing:        Error al procesar la acción de la casa; ¡el error ha sido registrado!
HousingPlaceItemHandler.NoHouseSelected:        ¡Ninguna casa seleccionada!
HousingPlaceItemHandler.NeedRemovalDeed:        Necesitas una Escritura de Retirada de Casa para esto.
HousingPlaceItemHandler.HouseRemoved:           ¡Tu casa ha sido eliminada!
HousingPlaceItemHandler.NeedHouseDeed:          Esto no funciona sin una Escritura de Casa.

# /Housing LotMarker
Housing.LotMarker.TargetLotNumber:				Apuntas a la parcela número {0}.
Housing.LotMarker.ItCanBeBoughtFor:				Se puede comprar por {0}.
Housing.LotMarker.ItIsOwnedBy:				Esta parcela pertenece a {0}.
Housing.LotMarker.YouAlreadyOwnAHouse:			¡Ya posees una casa!
Housing.LotMarker.DoYouWantToBuyThisLot1:			¿Quieres comprar esta parcela?
Housing.LotMarker.DoYouWantToBuyThisLot2:			El coste es {0}.
Housing.LotMarker.YouDoNotOwnThisLot:				¡No eres propietario de esta parcela!
Housing.LotMarker.YouAlreadyOwnAnotherLotOrHouse:	Ya posees otra parcela o casa (n.º {0}).
Housing.LotMarker.YouJustBoughtThisLotFor:			Acabas de comprar esta parcela por {0}.
Housing.LotMarker.YouDontHaveEnoughMoney:			¡Fondos insuficientes!
Housing.LotMarker.ThisItemCantBeSold:				Este objeto no puede venderse.
Housing.LotMarker.LotNotItem:					Este no es un título de propiedad válido.

Scripts.Player.Housing.BadShieldBanner:			Esto no es un objeto o estandarte válido.
Scripts.Player.Housing.CarpetsRemoved:			Tu alfombra ha sido retirada.
Scripts.Player.Housing.ClearHookPoint:			¿Quieres eliminar el objeto del punto de anclaje?
Scripts.Player.Housing.GardenMaxObjects:			Has puesto 30 objetos en tu jardín. No queda espacio.
Scripts.Player.Housing.GuildNowOwns:				[Gremio] ¡{0} ahora posee una casa de gremio de {1}!
Scripts.Player.Housing.NotOwner:					¡No eres el dueño de esta casa!
Scripts.Player.Housing.NotGuildLeader:				¡No eres el líder de un gremio!
Scripts.Player.Housing.ConsignmentNotEmpty:			¡Todos los objetos y el dinero deben ser retirados de tu mercader de consignación para poder transferir esta casa!
Scripts.Player.Housing.RentPaidFromBank:			Se han retirado {0} de tu cuenta bancaria para el pago del alquiler de tu casa.
Scripts.Player.Housing.TargetLotMarker:				Debes apuntar a un marcador de lote para comprar una escritura.
Scripts.Player.Housing.MerchantListNotFound:		No se puede completar la transacción: no se encontró la lista del mercader.
Scripts.Player.Housing.GuildHouseEvicted:			[Vivienda] ¡La casa de gremio en el lote {0} ha sido embargada por el reino debido a la falta de pago del alquiler!
Scripts.Player.Housing.PersonalHouseEvicted:		[Vivienda] ¡Tu casa en el lote {0} ha sido embargada por el reino debido a la falta de pago del alquiler!
Scripts.Player.Housing.HookPointAdded:				Este objeto se ha añadido a tu casa.
Scripts.Player.Housing.HookPointAlready:			¡Ese punto de anclaje ya tiene un objeto!
Scripts.Player.Housing.HookPointCleared:			El punto de anclaje ahora está vacío.
Scripts.Player.Housing.HookPointCloser:			Acércate lo máximo posible a la parcela deseada y pulsa “aceptar”.
Scripts.Player.Housing.HookPointID:				El ID del punto de anclaje es: {0}
Scripts.Player.Housing.HookPointLogged:			¡Posición del punto de anclaje {0} registrada!
Scripts.Player.Housing.HookPointLogLoc:			¿Mostrar puntos de anclaje?
Scripts.Player.Housing.HookPointNot:				¡Este no es un objeto utilizable en puntos de anclaje!
Scripts.Player.Housing.HookPointNotPlaced:			El objeto no se ha colocado en ese punto de anclaje.
Scripts.Player.Housing.HouseUseMaterials:			Usa Mayús+clic derecho en tu casa para cambiar el aspecto.
Scripts.Player.Housing.HouseUseCarpets:				Usa Mayús+clic derecho en tu casa para cambiar las alfombras.
Scripts.Player.Housing.IndoorFloorPlaced:			Has colocado {0} en el piso de tu casa.
Scripts.Player.Housing.IndoorMaxItems:			Actualmente has colocado {0} objetos en tu casa. No puedes colocar más.
Scripts.Player.Housing.IndoorWallPlaced:			Acabas de colocar {0} en la pared de tu casa.
Scripts.Player.Housing.InteriorBannersAdded:		El estandarte de gremio interior ha sido cambiado.
Scripts.Player.Housing.InteriorBannersRemoved:		El estandarte de gremio interior ha sido retirado.
Scripts.Player.Housing.InteriorShieldsAdded:		El escudo de gremio interior ha sido cambiado.
Scripts.Player.Housing.InteriorShieldsRemoved:		El escudo de gremio interior ha sido retirado.
Scripts.Player.Housing.NotFloorObject:			Este objeto no puede colocarse en el piso superior.
Scripts.Player.Housing.NotHookPoint:				¡Este objeto no puede colocarse en un punto de anclaje!
Scripts.Player.Housing.NotWallObject:				¡Este objeto no puede colocarse en la pared!
Scripts.Player.Housing.OutdoorBannersAdded:		El estandarte de gremio exterior ha sido cambiado.
Scripts.Player.Housing.OutdoorBannersRemoved:		El estandarte de gremio exterior ha sido retirado.
Scripts.Player.Housing.OutdoorShieldsAdded:		El escudo de gremio exterior ha sido cambiado.
Scripts.Player.Housing.OutdoorShieldsRemoved:		El escudo de gremio exterior ha sido retirado.
Scripts.Player.Housing.PorchNotItem:				¡Este no es un objeto de porche!
Scripts.Player.Housing.TransferToGuild:			¿Quieres transferir esta casa a {0}?

