# HOUSING (RO)
House.DBHousePermissions.AccessLevel:			Nivel de acces {0}
HousingPlaceItemHandler.GuildAlreadyOwnsHouse:  Breasla ta deține deja o casă.
HousingPlaceItemHandler.MustRemoveMerchant:     Trebuie mai întâi să elimini negustorul de consignație.
HousingPlaceItemHandler.NeedsPorchFirst:        Casa ta are nevoie mai întâi de o verandă.
HousingPlaceItemHandler.CannotAddMerchant:      Nu poți adăuga un negustor de consignație aici.
HousingPlaceItemHandler.UseAddHookpoints:       Folosește '/house addhookpoints' pentru a permite adăugarea de noi puncte de prindere.
HousingPlaceItemHandler.CannotAddMoreVaults:    Nu mai poți adăuga alte seifuri în această casă!
HousingPlaceItemHandler.UnknownMethod:          Plasare obiect: Metodă necunoscută, nu se face nimic.
HousingPlaceItemHandler.ErrorProcessing:        Eroare la procesarea acțiunii casei; eroarea a fost înregistrată!
HousingPlaceItemHandler.NoHouseSelected:        Nicio casă selectată!
HousingPlaceItemHandler.NeedRemovalDeed:        Ai nevoie de un Act de Eliminare a Casei pentru asta.
HousingPlaceItemHandler.HouseRemoved:           Casa ta a fost eliminată!
HousingPlaceItemHandler.NeedHouseDeed:          Acest lucru nu funcționează fără un Act al Casei.

# /Housing LotMarker
Housing.LotMarker.TargetLotNumber:				Țintiți terenul numărul {0}.
Housing.LotMarker.ItCanBeBoughtFor:				Este disponibil pentru cumpărare la {0}.
Housing.LotMarker.ItIsOwnedBy:					Această parcelă aparține lui {0}.
Housing.LotMarker.YouAlreadyOwnAHouse:			Deja dețineți o casă!
Housing.LotMarker.DoYouWantToBuyThisLot1:			Doriți să cumpărați acest teren?
Housing.LotMarker.DoYouWantToBuyThisLot2:			Costul este {0}.
Housing.LotMarker.YouDoNotOwnThisLot:				Nu sunteți proprietarul acestei parcele!
Housing.LotMarker.YouAlreadyOwnAnotherLotOrHouse:	Dețineți deja un teren sau o casă (Numărul {0}).
Housing.LotMarker.YouJustBoughtThisLotFor:			Tocmai ați cumpărat acest teren pentru {0}.
Housing.LotMarker.YouDontHaveEnoughMoney:			Fonduri insuficiente!
Housing.LotMarker.ThisItemCantBeSold:				Acest obiect nu poate fi vândut.
Housing.LotMarker.LotNotItem:					Acesta nu este un act de proprietate valid.

Scripts.Player.Housing.BadShieldBanner:			Acesta nu este un obiect sau un banner valid.
Scripts.Player.Housing.CarpetsRemoved:			Covorul dumneavoastră a fost îndepărtat.
Scripts.Player.Housing.ClearHookPoint:			Doriți să eliminați obiectul din punctul de ancorare?
Scripts.Player.Housing.GardenMaxObjects:			Ați depus 30 de obiecte în grădina dumneavoastră. Nu mai aveți loc.
Scripts.Player.Housing.GuildNowOwns:				[Breaslă] {0} deține acum o casă de breaslă de {1}!
Scripts.Player.Housing.NotOwner:					Nu ești proprietarul acestei case!
Scripts.Player.Housing.NotGuildLeader:				Nu ești liderul unei bresle!
Scripts.Player.Housing.ConsignmentNotEmpty:			Toate obiectele și banii trebuie retrase de la negustorul tău de consignație pentru a putea transfera această casă!
Scripts.Player.Housing.RentPaidFromBank:			{0} au fost retrase din contul tău bancar pentru plata chiriei casei tale.
Scripts.Player.Housing.TargetLotMarker:				Trebuie să țintești un Marcaj de lot pentru a cumpăra un act.
Scripts.Player.Housing.MerchantListNotFound:		Nu se poate finaliza tranzacția: lista negustorului nu a fost găsită.
Scripts.Player.Housing.GuildHouseEvicted:			[Locuințe] Casa breslei de la lotul {0} a fost confiscată de regat din cauza chiriei neplătite!
Scripts.Player.Housing.PersonalHouseEvicted:		[Locuințe] Casa ta de la lotul {0} a fost confiscată de regat din cauza chiriei neplătite!
Scripts.Player.Housing.HookPointAdded:				Acest obiect a fost adăugat casei dumneavoastră.
Scripts.Player.Housing.HookPointAlready:			Această ancorare are deja un obiect!
Scripts.Player.Housing.HookPointCleared:			Punctul de ancorare este acum gol.
Scripts.Player.Housing.HookPointCloser:			Apropiați-vă cât mai mult de lotul dorit și apăsați „acceptă”.
Scripts.Player.Housing.HookPointID:				ID-ul punctului de ancorare este: {0}
Scripts.Player.Housing.HookPointLogged:			Poziția punctului de ancorare {0}!
Scripts.Player.Housing.HookPointLogLoc:			Afișați punctele de ancorare?
Scripts.Player.Housing.HookPointNot:				Acesta nu este un obiect utilizabil pe ancorări!
Scripts.Player.Housing.HookPointNotPlaced:			Obiectul nu a fost plasat pe această ancorare.
Scripts.Player.Housing.HouseUseMaterials:			Folosiți shift+clic-dreapta în casa dumneavoastră pentru a schimba aspectul casei.
Scripts.Player.Housing.HouseUseCarpets:				Folosiți shift+clic-dreapta în casa dumneavoastră pentru a schimba covoarele.
Scripts.Player.Housing.IndoorFloorPlaced:			Ați plasat {0} la etajul casei dumneavoastră.
Scripts.Player.Housing.IndoorMaxItems:			În prezent ați plasat {0} obiecte în casa dumneavoastră. Nu puteți plasa mai multe.
Scripts.Player.Housing.IndoorWallPlaced:			Tocmai ați plasat {0} pe peretele casei dumneavoastră.
Scripts.Player.Housing.InteriorBannersAdded:		Bannerul de breaslă interior a fost schimbat.
Scripts.Player.Housing.InteriorBannersRemoved:		Bannerul de breaslă interior a fost îndepărtat.
Scripts.Player.Housing.InteriorShieldsAdded:		Emblema de breaslă interioară a fost schimbată.
Scripts.Player.Housing.InteriorShieldsRemoved:		Emblema de breaslă interioară a fost îndepărtată.
Scripts.Player.Housing.NotFloorObject:			Acest obiect nu poate fi plasat la etaj!
Scripts.Player.Housing.NotHookPoint:				Acest obiect nu poate fi plasat pe ancorare!
Scripts.Player.Housing.NotWallObject:				Acest obiect nu poate fi plasat pe perete!
Scripts.Player.Housing.OutdoorBannersAdded:		Bannerul de breaslă exterior a fost schimbat.
Scripts.Player.Housing.OutdoorBannersRemoved:		Bannerul de breaslă exterior a fost îndepărtat.
Scripts.Player.Housing.OutdoorShieldsAdded:		Emblema de breaslă exterioară a fost schimbată.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Emblema de breaslă exterioară a fost îndepărtată.
Scripts.Player.Housing.PorchNotItem:				Acesta nu este un obiect pentru pridvor!
Scripts.Player.Housing.TransferToGuild:			Doriți să transferați această casă către {0}?

