# /Advice
Commands.Players.Advice.Advice:				[Anfrage{0}] {1}: "{2}"
Commands.Players.Bountyrent.RangeOfAHouse:		Um den '/bountyrent'-Befehl zu benutzen, müsst Ihr Euch in der Nähe eines Hauses aufhalten.
Commands.Players.Bountyrent.ToManyMoney:			Soviel Gold passt nicht in die Mietkasse! Einzahlung abgebrochen.
Commands.Players.Bountyrent.YouSpend:			Ihr bezahlt {0} eigene Kopfgeldpunkte was einer Mietzahlung in Hohe von {1} Goldmünzen entspricht.
Commands.Players.Bountyrent.YouSpendGuild:		Ihr bezahlt {0} Gildenkopfgeldpunkte was einer Mietzahlung in Hohe von {1} Goldmünzen entspricht.

# /Broadcast
Commands.Players.Broadcast.Message:			[Broadcast] {0}: {1}
Commands.Players.Broadcast.NoHere:			Ihr könnt hier keinen Rundspruch machen.
Commands.Players.Broadcast.NoText:			Hmmm...Ihr solltet aufhören, dauernd mit Euch selbst zu reden.
Commands.Players.Region.Message:				[Region] {0}: {1}
Commands.Players.LFG.Message:				[LFG] {0}: {1}
Commands.Players.Trade.Message:				[Trade] {0}: {1}

# /Cancelstyle
Commands.Players.Cancelstyle.Set:			Kampfstil-Abbruch {0}geschaltet.
Commands.Players.Cancelstyle.On:				an
Commands.Players.Cancelstyle.Off:			aus

# /Chatgroup
Commands.Players.Chatgroup.Help.Help:			/cg help - Zeigt die Hilfe zur Befehlsformulierung an
Commands.Players.Chatgroup.Help.Invite:			/cg invite <Name> - Lädt einen Spieler in die Chatgruppe ein. Ist dies eine öffentliche Chatgruppe, kann der Befehl von jedem Chatgruppenmitglied benutzt werden, ansonsten nur vom Chatgruppenleiter.
Commands.Players.Chatgroup.Help.JoinPrivate:		/cg join <Leitername> <Passwort> - Ihr tretet einer öffentlichen, passwortgeschützten Chatgruppe bei.
Commands.Players.Chatgroup.Help.JoinPublic:		/cg join <Leitername> - Ihr tretet einer öffentlichen Chatgruppe bei.
Commands.Players.Chatgroup.Help.Leader:			/cg leader <name> - Schaltet einen Spieler als Leiter der Chatgruppe. (Nur Leiter)
Commands.Players.Chatgroup.Help.Leave:			/cg leave - Ihr verlasst die Chatgruppe.
Commands.Players.Chatgroup.Help.Listen:			/cg listen - Schaltet die Chatgruppe auf "Nur lesen". Nur noch der Chatgruppenleiter und die Moderatoren können etwas schreiben. (Nur Leiter)
Commands.Players.Chatgroup.Help.PasswordClear:		/cg password clear - Löscht das aktuelle Passwort (Nur Leiter)
Commands.Players.Chatgroup.Help.PasswordDisplay:		/cg password - Zeigt das aktuelle Passwort (Nur dem Leiter)
Commands.Players.Chatgroup.Help.PasswordNew:		/cg password <Neues Passwort> - Setz ein (neues) Passwort für die Chatgruppe. (Nur Leiter)
Commands.Players.Chatgroup.Help.Private:			/cg private - Schaltet die Chatgruppe auf Nicht-Öffentlich. Man muss das Passwort oder von einem Leiter eingeladen werden um beizutreten. (Nur Leiter)
Commands.Players.Chatgroup.Help.Public:			/cg public - Schaltet die Chatgruppe "Öffentlich". Dann kann jeder mit "/cg join <Leitername>" der Chatgruppe beitreten. Ausserdem ist sie dann unter "/who CG" finden. (Nur Leiter)
Commands.Players.Chatgroup.Help.Remove:			/cg remove <Name> - Wirft einen Spieler aus der Chatgruppe. (Nur Leiter)
Commands.Players.Chatgroup.Help.Usage:			Befehle für "/cg" sind:
Commands.Players.Chatgroup.Help.Who:			/cg who - Zeigt alle Mitglieder der Chatgruppe.
Commands.Players.Chatgroup.InChatGroup:			Ihr seid zur Zeit in keiner Chat-Gruppe!
Commands.Players.Chatgroup.InviteYourself:		Ihr könnt Euch nicht selber einladen.	
Commands.Players.Chatgroup.JoinChatGroup:		Wollt Ihr der Chat-Gruppe von {0} beitreten?	
Commands.Players.Chatgroup.LeaderCommand:		Diesen Befehl kann nur der Leiter der Chat-Gruppe geben.	
Commands.Players.Chatgroup.LeaderInvite:			Ihr müsst der Leiter der Chat-Gruppe sein, um einen Spieler einladen zukönnen.
Commands.Players.Chatgroup.ListenMode:			Der "Nur Lesen"-Status der Chat-Gruppe wurde geändert auf 
Commands.Players.Chatgroup.Moderator:			{0} ist Moderator geworden.
Commands.Players.Chatgroup.NoPlayer:			Ein Spieler mit diesem Namen ist zur Zeit nicht im Spiel oder gehört einem anderen Reich an.
Commands.Players.Chatgroup.NotChatGroupLeader:		Dieser Spieler ist kein Leiter einer Chat-Gruppe.	
Commands.Players.Chatgroup.NotChatGroupMember:		Dieser Spieler gehört keiner Chat-Gruppe an.	
Commands.Players.Chatgroup.NotPublic:			Das ist keine öffentliche Chat-Gruppe.
Commands.Players.Chatgroup.OnlyModerator:		Nur der Leiter oder ein Moderator kann in dieser Chat-Gruppe sprechen.	
Commands.Players.Chatgroup.OwnChatGroup:			Eurer eigenen Chat-Gruppe könnt Ihr nicht beitreten.
Commands.Players.Chatgroup.Password:			Das Passwort der Chat-Gruppe lautet: {0}.
Commands.Players.Chatgroup.PasswordChanged:		Ihr habt das Passwort der Chat-Gruppe geändert in: {0}.
Commands.Players.Chatgroup.PasswordClear:		Das Passwort dieser Chat-Gruppe wurde gelöscht.
Commands.Players.Chatgroup.PasswordUnset:		Diese Chat-Gruppe hat kein Passwort.
Commands.Players.Chatgroup.PlayerInChatgroup:		{0} ist bereits Mitglied einer Chat-Gruppe.
Commands.Players.Chatgroup.Private:			Das ist nun eine private Chat-Gruppe.
Commands.Players.Chatgroup.PrivateAlready:		Das ist bereits eine private Chat-Gruppe.
Commands.Players.Chatgroup.Public:			Das ist nun eine öffentliche Chat-Gruppe.
Commands.Players.Chatgroup.PublicAlready:		Das ist bereits eine öffentliche Chat-Gruppe.
Commands.Players.Chatgroup.Usage:			Verwendet: /c <text>
Commands.Players.Chatgroup.UsageInvite:			Verwendet: /cg invite <playername>"

# /Cmdhelp
Commands.Players.Cmdhelp.NoCommand:			Den Befehl {0} gibt es nicht.
Commands.Players.Cmdhelp.PlvlCommands:			<---------Befehle für Berechtigungsstufe {0}--------->
Commands.Players.Cmdhelp.Usage:				>-------Befehlsform für {0}-------<

# /Disband
Commands.Players.Disband.Disbanded:			{o} wurde aus der Gruppe entlassen.
Commands.Players.Disband.NoPlayer:			In der Gruppe gibt es keinen Spieler mit diesem Namen.
Commands.Players.Disband.NotInGroup:			Ihr seid zur Zeit in keiner Gruppe.
Commands.Players.Disband.NotLeader:			Ihr seid nicht der Leiter Eurer Gruppe.
Commands.Players.Disband.NoYourself:			Auf diesem Wege könnt Ihr die Gruppe nicht verlassen.

# /Dismount
Commands.Players.Dismount:				Ihr reitet doch garnicht!

# /Duel
Commands.Players.Duel.ChallengesYou:			{0} fordert Euch zu einem Duell heraus! '/duel accept' lässt den Kampf beginnen, '/duel decline' lehnt die Herausforderung ab.
Commands.Players.Duel.DuelOptions:			Es gibt folgende '/duel'-Optionen: 'challenge/decline/cancel/surrender/accept'
Commands.Players.Duel.EnemyRealm:			Ihr könnt Euch nicht mit Spielern aus verfeindeten Reichen duellieren.
Commands.Players.Duel.NeedTarget:			Ihr braucht schon einen Gegenspieler, den Ihr zum Duell fordern könnt!
Commands.Players.Duel.ConsideringDuel:			Zur Zeit seid Ihr nicht zu einem Duell aufgefordert worden oder habt selbst jemanden aufgefordert.
Commands.Players.Duel.NotInDuel:				Ihr befindet Euch zur Zeit in keinem Duell!
Commands.Players.Duel.PlayerVsPlayer:			{0} ergibt sich {1}!
Commands.Players.Duel.SafeZone:				Dies ist eine geschützte Zone in der Ihr Euch nicht duellieren könnt!
Commands.Players.Duel.TargetAccept:			{0} hat die Duellforderung angenommen. Auf zum Kampf!
Commands.Players.Duel.TargetAlreadyChallenging:		{0} hat bereits jemand anderes zum Duell gefordert.
Commands.Players.Duel.TargetAlreadyConsidering:		{0} hat bereits eine andere Duellforderung zugesagt.
Commands.Players.Duel.TargetCancel:			{0} hat seine Aufforderung zum Duell zurückgezogen.	
Commands.Players.Duel.TargetDeclines:			{0} hat Euere Duellforderung abgelehnt.
Commands.Players.Duel.TargetHealth:			Euer Duellgegner muss völlig gesund sein.
Commands.Players.Duel.TargetInCombat:			{0} kämpft zur Zeit.
Commands.Players.Duel.TargetInDuel:			{0} befindet sich bereits in einem Duell.
Commands.Players.Duel.TargetInGroup:			{0} ist Mitglied einer Gruppe.
Commands.Players.Duel.TargetSurrender:			{0} ergibt sich Euch!
Commands.Players.Duel.YouAccept:				Ihr habt die Duellforderung angenommen. Auf zum Kampf!
Commands.Players.Duel.YouAlreadyChallenging:		Ihr habt bereits {0} zu einem Duell herausgefordert. Zieht diese Forderung zuerst zurück, damit Ihr jemand anderes zum Duell auffordern könnt.
Commands.Players.Duel.YouAlreadyConsidering:		Ihr habt bereits einem Duell mit {0} zugesagt. Zieht diese Zusage erst zurück, bevor Ihr jemand anderes herausfordert.
Commands.Players.Duel.YouCancel:				Ihr habt Eure Duellforderung zurückgezogen.
Commands.Players.Duel.YouChallenge:			Ihr fordert {0} zum Duell heraus!
Commands.Players.Duel.YouDecline:			Ihr habt die Duellforderung von {0} abgelehnt.
Commands.Players.Duel.YouHaventChallenged:		Ihr habt niemanden zu einem Duell herausgefordert.
Commands.Players.Duel.YouHealth:				Ihr müsst erst völlig gesund sein.
Commands.Players.Duel.YouInCombat:			Ihr befindet Euch in einem Kampf.
Commands.Players.Duel.YouInDuel:				Ihr befindet Euch schon in einem Duell.
Commands.Players.Duel.YouInGroup:			Ihr seid Mitglied einer Gruppe.
Commands.Players.Duel.YouSurrender:			Ihr ergebt Euch {0}!

# /FreeLevel
PLCommands.FreeLevel.AboveMaximumLevel:			Eure Erfahrung ist zu groß für eine weitere freie Stufe.
PLCommands.FreeLevel.EligibleFreeLevel:			Ihr seid nun würdig, eine freie Stufe zu erhalten. Klickt auf Euren Ausbilder, um sie zu bekommen! (Der Befehl "/freelevel decline" entfernt diese freie Stufe.)
PLCommands.FreeLevel.FreeLevelIn:			Ihr habt eine neue Stufe erreicht und seid Eurer nächsten freien Stufe in {0} Tage, {1} Stunden und {2} Minuten  würdig.
PLCommands.FreeLevel.FreeLevelIn2:			Ihr müsst noch {0} Tage, {1} Stunden und {2} Minuten warten, bis der Zeitraum der nächsten freien Stufe beginnt.
PLCommands.FreeLevel.FreeLevelSoon:			Ihr braucht eine weitere Stufe, um der nächsten freien Stufe würdig zu sein.
PLCommands.FreeLevel.NoFreeLevel:			Ihr habt keine freie Stufe !
PLCommands.FreeLevel.Removed:				Diese freie Stufe wurde entfernt.

# /Guilds
Commands.Player.Guild.AccountRemoved:			{0} hat {1} aus der Gilde entfernt.
Commands.Player.Guild.ActiveBuff:			Eure Gilde verfügt bereits über einen Bonuszauber. Ihr müßt warten, bis dieser vorbei ist.
Commands.Player.Guild.AllianceAlreadyOther:		Diese Gilde ist bereits in einer Allianz.
Commands.Player.Guild.AllianceAnsCancel:			Das Angebot, der Allianz beizutreten wurde zurückgezogen.
Commands.Player.Guild.AllianceDeclined:			Ihr lehnt es ab, der Allianz beizutreten.	
Commands.Player.Guild.AllianceDeclinedOther:		Das Angebot, der Allianz beizutreten wurde abgelehnt.
Commands.Player.Guild.AllianceDisabled:			Allianzen sind auf diesem Server nicht erlaubt.
Commands.Player.Guild.AllianceIndexNotVal:		Die Allianz-ID ist ungültig.
Commands.Player.Guild.AllianceInfo:			Allianz-Informationen für {0}:
Commands.Player.Guild.AllianceInvite:			Ihr habt einer Gilde angeboten, Eurer Allianz beizutreten.
Commands.Player.Guild.AllianceInvited:			Euch wurde angeboten, der Allianz von {0} beizutreten.
Commands.Player.Guild.AllianceLeader:			Anführer der Allianz {0}	
Commands.Player.Guild.AllianceMax:			Ihr könnt dieser Gilde nicht anbieten Eurer Allianz beizutreten, da bereits zuviele Gilden in Eurer Allianz sind.
Commands.Player.Guild.AllianceMember:			{0} - {1}	
Commands.Player.Guild.AllianceMembers:			Mitglieder der Allianz:	
Commands.Player.Guild.AllianceMemNotSel:			Ihr müßt ein Mitglied derselben Allianz auswählen.
Commands.Player.Guild.AllianceNoGMSelected:		Ihr müßt einen Anführer der Gilde auswählen.
Commands.Player.Guild.AllianceNoLeader:			Kein Anführer der Allianz
Commands.Player.Guild.AllianceNotLeader:			Ihr müßt der Anführer der Allianz sein, um eine Gilde aus der Allianz entfernen zu können.
Commands.Player.Guild.AllianceNotMember:			Um das zu tun, müßtet Ihr erstmal in einer Allianz sein.
Commands.Player.Guild.AlreadyInGuild:			{0} gehört bereits einer Gilde an.
Commands.Player.Guild.AlreadyInGuild:			Die gehören bereits einer Gilde an.
Commands.Player.Guild.AMotdSet:				Ihr habt die Willkommensnachricht für diese Gilde geändert.
Commands.Player.Guild.BannerAlready:			Eure Gilde hat schon ein Banner.
Commands.Player.Guild.BannerBought:			Ihr habt ein Gildenbanner für {0} Kopfgeldpunkte erworben.
Commands.Player.Guild.BannerGroupSummoned:		Jemand aus Eurer Gruppe hat bereits das Gildenbanner gehisst.
Commands.Player.Guild.BannerGuildSummoned:		Jemand aus Eurer Gilde hat bereits das Gildenbanner gehisst.	
Commands.Player.Guild.BannerNoGroup:			Ihr müßt in einer Gruppe sein, um das Gildenbanner hissen zu können.
Commands.Player.Guild.BannerNone:			Eure Gilde besitzt kein Gildenbanner.
