
ROG.FocusPrefix: Fokus
ROG.BaseName.PlateHelm: Plattenhelm
ROG.BaseName.PlateFullHelm: Platten-Vollhelm
ROG.BaseName.PlateSleeves: Plattenärmel
ROG.BaseName.PlateArms: Plattenarmschutz
ROG.BaseName.PlateBoots: Plattenstiefel
ROG.BaseName.PlateGloves: Plattenhandschuhe
ROG.BaseName.PlateGauntlets: Plattenstulpen
ROG.BaseName.PlatePants: Plattenhose
ROG.BaseName.PlateLegs: Plattenbeinschutz
ROG.BaseName.PlateLeggings: Plattengamaschen
ROG.BaseName.PlateHauberk: Plattenhauberk
ROG.BaseName.PlateBreastplate: Plattenbrustplatte
ROG.BaseName.PlateJerkin: Plattenwams
ROG.BaseName.PlateVest: Plattenweste

ROG.BaseName.ReinforcedCap: Verstärkte Kappe
ROG.BaseName.ReinforcedCoif: Verstärkte Haube
ROG.BaseName.ReinforcedHelm: Verstärkter Helm
ROG.BaseName.ReinforcedSleeves: Verstärkte Ärmel
ROG.BaseName.ReinforcedArms: Verstärkter Armschutz
ROG.BaseName.ReinforcedBoots: Verstärkte Stiefel
ROG.BaseName.ReinforcedGloves: Verstärkte Handschuhe
ROG.BaseName.ReinforcedGauntlets: Verstärkte Stulpen
ROG.BaseName.ReinforcedPants: Verstärkte Hose
ROG.BaseName.ReinforcedLegs: Verstärkter Beinschutz
ROG.BaseName.ReinforcedLeggings: Verstärkte Gamaschen
ROG.BaseName.ReinforcedHauberk: Verstärkter Hauberk
ROG.BaseName.ReinforcedBreastplate: Verstärkte Brustplatte
ROG.BaseName.ReinforcedJerkin: Verstärktes Wams
ROG.BaseName.ReinforcedVest: Verstärkte Weste

ROG.BaseName.ScaleCap: Schuppenkappe
ROG.BaseName.ScaleCoif: Schuppenhaube
ROG.BaseName.ScaleHelm: Schuppenhelm
ROG.BaseName.ScaleSleeves: Schuppenärmel
ROG.BaseName.ScaleArms: Schuppenarmschutz
ROG.BaseName.ScaleBoots: Schuppenstiefel
ROG.BaseName.ScaleGloves: Schuppenhandschuhe
ROG.BaseName.ScaleGauntlets: Schuppenstulpen
ROG.BaseName.ScalePants: Schuppenhose
ROG.BaseName.ScaleLegs: Schuppenbeinschutz
ROG.BaseName.ScaleLeggings: Schuppengamaschen
ROG.BaseName.ScaleHauberk: Schuppenhauberk
ROG.BaseName.ScaleBreastplate: Schuppenbrustplatte
ROG.BaseName.ScaleJerkin: Schuppenwams
ROG.BaseName.ScaleVest: Schuppenweste

# ================================
# BASE ITEM NAMES (Weapons)
# ================================
ROG.BaseName.Dagger: Dolch
ROG.BaseName.Dirk: Kurzschwert
ROG.BaseName.Gladius: Gladius
ROG.BaseName.Stiletto: Stilett
ROG.BaseName.Axe: Axt
ROG.BaseName.Cleaver: Spalter
ROG.BaseName.Rapier: Rapier
ROG.BaseName.Sword: Schwert
ROG.BaseName.HookedSword: Hakenschwert
ROG.BaseName.Falcata: Falcata
ROG.BaseName.Scimitar: Krummsäbel
ROG.BaseName.Jambiya: Jambiya
ROG.BaseName.Sabre: Säbel
ROG.BaseName.Khopesh: Khopesh
ROG.BaseName.Wakazashi: Wakizashi
ROG.BaseName.Greatsword: Großschwert
ROG.BaseName.WarCleaver: Kriegswaffen-Spalter
ROG.BaseName.GreatFalcata: Große Falcata
ROG.BaseName.GreatFalchion: Großes Falchion
ROG.BaseName.TrollSplitter: Trollspalter
ROG.BaseName.Katana: Katana
ROG.BaseName.Greave: Kralle
ROG.BaseName.Claw: Klaue
ROG.BaseName.Fang: Reißzahn
ROG.BaseName.Greataxe: Streitaxt
ROG.BaseName.GreatHammer: Großer Hammer
ROG.BaseName.Shillelagh: Knüppel
ROG.BaseName.WarMattock: Kriegsspitzhacke
ROG.BaseName.Mace: Streitkolben
ROG.BaseName.Hammer: Hammer
ROG.BaseName.Adze: Dechsel
ROG.BaseName.Club: Keule
ROG.BaseName.Sickle: Sichel
ROG.BaseName.Lute: Laute
ROG.BaseName.Mandolin: Mandoline
ROG.BaseName.Drum: Trommel
ROG.BaseName.Flute: Flöte
ROG.BaseName.Harp: Harfe
ROG.BaseName.Spear: Speer
ROG.BaseName.Harpoon: Harpune
ROG.BaseName.Trident: Dreizack
ROG.BaseName.ShortSpear: Kurzer Speer
ROG.BaseName.LongSpear: Langer Speer
ROG.BaseName.WarSpear: Kriegsspeer
ROG.BaseName.CompositeBow: Kompositbogen
ROG.BaseName.GreatCompositeBow: Großer Kompositbogen
ROG.BaseName.HuntingBow: Jagdbogen
ROG.BaseName.Longbow: Langbogen
ROG.BaseName.HeavyLongbow: Schwerer Langbogen
ROG.BaseName.RecurveBow: Recurvebogen
ROG.BaseName.GreatRecurveBow: Großer Recurvebogen
ROG.BaseName.ShortBow: Kurzbogen
ROG.BaseName.Crossbow: Armbrust
ROG.BaseName.MorningStar: Morgenstern
ROG.BaseName.Flail: Flegel
ROG.BaseName.WeightedFlail: Beschwerter Flegel
ROG.BaseName.Whip: Peitsche
ROG.BaseName.Chain: Kette
ROG.BaseName.WarChain: Kriegskette
ROG.BaseName.BigShillelagh: Großer Knüppel
ROG.BaseName.HandAxe: Hand-Axt
ROG.BaseName.BeardedAxe: Bartaxt
ROG.BaseName.WarAxe: Kriegsaxt
ROG.BaseName.LochaberAxe: Lochaber-Axt
ROG.BaseName.Pike: Pike
ROG.BaseName.LucerneHammer: Luzerner Hammer
ROG.BaseName.Scythe: Sense
ROG.BaseName.MartialScythe: Kampfsense
ROG.BaseName.WarScythe: Kriegssense
ROG.BaseName.SmallShield: Kleiner Schild
ROG.BaseName.MediumShield: Mittlerer Schild
ROG.BaseName.LargeShield: Großer Schild
ROG.BaseName.Staff: Magierstab
ROG.BaseName.MaulerStaff: Prüglerstab
ROG.BaseName.Quarterstaff: Kampfstab
ROG.BaseName.ShodQuarterstaff: Beschlagener Kampfstab
ROG.BaseName.HeavyShodQuarterstaff: Schwer beschlagener Kampfstab
ROG.BaseName.FistWrap: Faustwickel
ROG.BaseName.HandWrap: Handwickel
ROG.BaseName.StuddedFistWrap: Nieten-Faustwickel
ROG.BaseName.StuddedHandWrap: Nieten-Handwickel
ROG.BaseName.SpikedFistWrap: Stachel-Faustwickel

# ================================
# BASE ITEM NAMES (Magical)
# ================================
ROG.BaseName.Mantle: Überwurf
ROG.BaseName.Cloak: Umhang
ROG.BaseName.Belt: Gürtel
ROG.BaseName.Girdle: Schärpe
ROG.BaseName.Choker: Halsband
ROG.BaseName.Pendant: Anhänger
ROG.BaseName.Gem: Edelstein
ROG.BaseName.Jewel: Juwel
ROG.BaseName.Bracelet: Armreif
ROG.BaseName.Bracer: Armband
ROG.BaseName.Ring: Ring
ROG.BaseName.Wrap: Wickel
ROG.BaseName.Mythirian: Mythirian

# ================================================================
# TIER 1 PREFIXES (Level 36-48) - Commonality / Base Thematics
# ================================================================
ROG.TierPrefix.1_ClassicOverworld_Global: Rau
ROG.TierPrefix.1_ClassicDungeons_Global: Staubig
ROG.TierPrefix.1_ClassicDungeons_CryptsAndUndead: Ghulisch
ROG.TierPrefix.1_ClassicDungeons_CavesAndNature: Moosig
ROG.TierPrefix.1_ClassicDungeons_VolcanicAndEarth: Versengt
ROG.TierPrefix.1_ClassicDungeons_GlacialAndAquatic: Frostig
ROG.TierPrefix.1_ClassicDungeons_MagicalAndEthereal: Glühend
ROG.TierPrefix.1_ClassicDungeons_DemonicAndAbyss: Befleckt
ROG.TierPrefix.1_ClassicDungeons_BeastAndGoblinoid: Tribal
ROG.TierPrefix.1_AtlantisOverworld_Global: Gezeitenumspült
ROG.TierPrefix.1_AtlantisDungeons_CryptsAndUndead: Versunken
ROG.TierPrefix.1_AtlantisDungeons_VolcanicAndEarth: Brühend
ROG.TierPrefix.1_AtlantisDungeons_GlacialAndAquatic: Pelagisch
ROG.TierPrefix.1_AtlantisDungeons_MagicalAndEthereal: Perlmutt
ROG.TierPrefix.1_Catacombs_CryptsAndUndead: Begraben
ROG.TierPrefix.1_Catacombs_CavesAndNature: Unterirdisch
ROG.TierPrefix.1_Catacombs_VolcanicAndEarth: Schwelend
ROG.TierPrefix.1_Catacombs_GlacialAndAquatic: Feucht
ROG.TierPrefix.1_Catacombs_MagicalAndEthereal: Verschleiert
ROG.TierPrefix.1_Catacombs_DemonicAndAbyss: Verdorben
ROG.TierPrefix.1_Catacombs_BeastAndGoblinoid: Wild
ROG.TierPrefix.1_DeepCatacombs_CryptsAndUndead: Verlassen
ROG.TierPrefix.1_DeepCatacombs_CavesAndNature: Tief
ROG.TierPrefix.1_DeepCatacombs_VolcanicAndEarth: Basalt
ROG.TierPrefix.1_DeepCatacombs_GlacialAndAquatic: Gefroren
ROG.TierPrefix.1_DeepCatacombs_MagicalAndEthereal: Leuchtend
ROG.TierPrefix.1_DeepCatacombs_DemonicAndAbyss: Böswillig
ROG.TierPrefix.1_DeepCatacombs_BeastAndGoblinoid: Urtümlich
ROG.TierPrefix.1_MythicalZones_Global: Sagenhaft
ROG.TierPrefix.1_MythicalZones_CavesAndNature: Ungezähmt
ROG.TierPrefix.1_MythicalZones_VolcanicAndEarth: Glutberührt
ROG.TierPrefix.1_MythicalZones_MagicalAndEthereal: Aufsteigend
ROG.TierPrefix.1_Battlegrounds_Global: Soldaten

# ================================================================
# TIER 2 PREFIXES (Level 49-64) - High Quality / Rare Thematics
# ================================================================
ROG.TierPrefix.2_ClassicOverworld_Global: Überlegen
ROG.TierPrefix.2_ClassicDungeons_Global: Außergewöhnlich
ROG.TierPrefix.2_ClassicDungeons_CryptsAndUndead: Makaber
ROG.TierPrefix.2_ClassicDungeons_CavesAndNature: Überwuchert
ROG.TierPrefix.2_ClassicDungeons_VolcanicAndEarth: Magmatisch
ROG.TierPrefix.2_ClassicDungeons_GlacialAndAquatic: Glazial
ROG.TierPrefix.2_ClassicDungeons_MagicalAndEthereal: Resonant
ROG.TierPrefix.2_ClassicDungeons_DemonicAndAbyss: Teuflisch
ROG.TierPrefix.2_ClassicDungeons_BeastAndGoblinoid: Feral
ROG.TierPrefix.2_AtlantisOverworld_Global: Atlantisch
ROG.TierPrefix.2_AtlantisDungeons_CryptsAndUndead: Ertrunken
ROG.TierPrefix.2_AtlantisDungeons_VolcanicAndEarth: Geothermisch
ROG.TierPrefix.2_AtlantisDungeons_GlacialAndAquatic: Benthisch
ROG.TierPrefix.2_AtlantisDungeons_MagicalAndEthereal: Arkan
ROG.TierPrefix.2_Catacombs_CryptsAndUndead: Grabes
ROG.TierPrefix.2_Catacombs_CavesAndNature: Höhlen
ROG.TierPrefix.2_Catacombs_VolcanicAndEarth: Vulkanisch
ROG.TierPrefix.2_Catacombs_GlacialAndAquatic: Überflutet
ROG.TierPrefix.2_Catacombs_MagicalAndEthereal: Rätselhaft
ROG.TierPrefix.2_Catacombs_DemonicAndAbyss: Infernal
ROG.TierPrefix.2_Catacombs_BeastAndGoblinoid: Monströs
ROG.TierPrefix.2_DeepCatacombs_CryptsAndUndead: Verdammt
ROG.TierPrefix.2_DeepCatacombs_CavesAndNature: Profund
ROG.TierPrefix.2_DeepCatacombs_VolcanicAndEarth: Obsidian
ROG.TierPrefix.2_DeepCatacombs_GlacialAndAquatic: Kristallin
ROG.TierPrefix.2_DeepCatacombs_MagicalAndEthereal: Numinos
ROG.TierPrefix.2_DeepCatacombs_DemonicAndAbyss: Finster
ROG.TierPrefix.2_DeepCatacombs_BeastAndGoblinoid: Fleischfressend
ROG.TierPrefix.2_MythicalZones_Global: Heroisch
ROG.TierPrefix.2_MythicalZones_CavesAndNature: Heilig
ROG.TierPrefix.2_MythicalZones_VolcanicAndEarth: Schwefel
ROG.TierPrefix.2_MythicalZones_MagicalAndEthereal: Transzendent
ROG.TierPrefix.2_Battlegrounds_Global: Veteranen

# ================================================================
# TIER 3 PREFIXES (Level 65+) - Exceptional / Epic Thematics
# ================================================================
ROG.TierPrefix.3_ClassicOverworld_Global: Exquisit
ROG.TierPrefix.3_ClassicDungeons_Global: Ehrwürdig
ROG.TierPrefix.3_ClassicDungeons_CryptsAndUndead: Nekrotisch
ROG.TierPrefix.3_ClassicDungeons_CavesAndNature: Sylvanisch
ROG.TierPrefix.3_ClassicDungeons_VolcanicAndEarth: Magmatisch
ROG.TierPrefix.3_ClassicDungeons_GlacialAndAquatic: Kryogen
ROG.TierPrefix.3_ClassicDungeons_MagicalAndEthereal: Ätherisch
ROG.TierPrefix.3_ClassicDungeons_DemonicAndAbyss: Abgründig
ROG.TierPrefix.3_ClassicDungeons_BeastAndGoblinoid: Bestialisch
ROG.TierPrefix.3_AtlantisOverworld_Global: Leviathan
ROG.TierPrefix.3_AtlantisDungeons_CryptsAndUndead: Unergründlich
ROG.TierPrefix.3_AtlantisDungeons_VolcanicAndEarth: Tektonisch
ROG.TierPrefix.3_AtlantisDungeons_GlacialAndAquatic: Hadal
ROG.TierPrefix.3_AtlantisDungeons_MagicalAndEthereal: Primordial
ROG.TierPrefix.3_Catacombs_CryptsAndUndead: Unsterblich
ROG.TierPrefix.3_Catacombs_CavesAndNature: Tellurisch
ROG.TierPrefix.3_Catacombs_VolcanicAndEarth: Kern-geschmiedet
ROG.TierPrefix.3_Catacombs_GlacialAndAquatic: Flutbringend
ROG.TierPrefix.3_Catacombs_MagicalAndEthereal: Ley-durchdrungen
ROG.TierPrefix.3_Catacombs_DemonicAndAbyss: Diabolisch
ROG.TierPrefix.3_Catacombs_BeastAndGoblinoid: Apex
ROG.TierPrefix.3_DeepCatacombs_CryptsAndUndead: Apokalyptisch
ROG.TierPrefix.3_DeepCatacombs_CavesAndNature: Geomanten
ROG.TierPrefix.3_DeepCatacombs_VolcanicAndEarth: Mantelgeboren
ROG.TierPrefix.3_DeepCatacombs_GlacialAndAquatic: Absolut
ROG.TierPrefix.3_DeepCatacombs_MagicalAndEthereal: Sternengeschmiedet
ROG.TierPrefix.3_DeepCatacombs_DemonicAndAbyss: Unterwelt
ROG.TierPrefix.3_DeepCatacombs_BeastAndGoblinoid: Raubtier
ROG.TierPrefix.3_MythicalZones_Global: Himmlisch
ROG.TierPrefix.3_MythicalZones_CavesAndNature: Yggdrasils
ROG.TierPrefix.3_MythicalZones_VolcanicAndEarth: Tartarisch
ROG.TierPrefix.3_MythicalZones_MagicalAndEthereal: Kosmisch
ROG.TierPrefix.3_Battlegrounds_Global: Kriegsmeister

# ================================
# PVP / RVR CUSTOM TIER PREFIXES
# ================================
ROG.TierPrefix.Mythical: Mythisch
ROG.TierPrefix.Exalted: Erhaben
ROG.TierPrefix.Fabled: Sagenhaft
