
# LANGUAGEMGR
System.LanguagesName.EN:					Anglais
ServerRPGMessage.CmdCraft:				/craftmacro <set|clear|show|buy|buyto> : Automatisez votre file d'attente d'artisanat et achetez facilement les ingrédients manquants directement aux marchands.
ServerRPGMessage.CmdVol:				/vol ou /steal <joueur> : Utilisez vos crochets pour voler des pièces ou de précieuses Reliques de Territoire aux joueurs rivaux !
ServerRPGMessage.GuildCommandsHeader:	--------- NOUVELLES COMMANDES DE GUILDE ---------
ServerRPGMessage.GCMap:					/gc territories & /gc subterritories : Affichez les cartes et statuts GvG.
ServerRPGMessage.GCPortal:				/gc territoryportal : Ouvrez un portail directement vers vos terres revendiquées.
ServerRPGMessage.GCCombatZone:			/gc combatzone : Créez une zone de combat PvP temporaire.
ServerRPGMessage.GCJail:				/gc jailrelease <nom> : Payez une caution pour libérer un membre de votre guilde de prison.
ServerRPGMessage.GCRent:				/gc houserent <on|off> : Activez/désactivez les paiements automatiques du loyer de la maison de guilde.
ServerRPGMessage.GCBanners:				/gc territorybanner & /gc buybanner & /gc summon : Achetez et déployez des bannières tactiques pour améliorer vos membres ou les gardes de votre territoire.
ServerRPGMessage.Outro:					Bonne chance, et que votre héritage sur Arcanum soit légendaire !
