# HOUSING
# /house
House.DBHousePermissions.AccessLevel:			Access level {0}
HousingPlaceItemHandler.MustRemoveMerchant:     You must first remove the consignment merchant.
HousingPlaceItemHandler.NeedsPorchFirst:        Your house needs a porch first.
HousingPlaceItemHandler.CannotAddMerchant:      You cannot add a consignment merchant here.
HousingPlaceItemHandler.UseAddHookpoints:       Use '/house addhookpoints' to allow addition of new housing hookpoints.
HousingPlaceItemHandler.CannotAddMoreVaults:    You can't add any more vaults to this house!
HousingPlaceItemHandler.UnknownMethod:          Place Item: Unknown method, do nothing.
HousingPlaceItemHandler.ErrorProcessing:        Error processing housing action; the error has been logged!
HousingPlaceItemHandler.NoHouseSelected:        No house selected!
HousingPlaceItemHandler.NeedRemovalDeed:        You need a House Removal Deed for this.
HousingPlaceItemHandler.HouseRemoved:           Your house has been removed!
HousingPlaceItemHandler.NeedHouseDeed:          This does not work without a House Deed.

# /Housing LotMarker
Housing.LotMarker.TargetLotNumber:				You target lot number {0}.
Housing.LotMarker.ItCanBeBoughtFor:				This lot can be purchased for {0}.
Housing.LotMarker.ItIsOwnedBy:					It is owned by {0}.
Housing.LotMarker.YouAlreadyOwnAHouse:			You already own a house!
Housing.LotMarker.DoYouWantToBuyThisLot1:		Do you want to buy this lot?
Housing.LotMarker.DoYouWantToBuyThisLot2:		It costs {0}!
Housing.LotMarker.YouDoNotOwnThisLot:			You do not own this lot!
Housing.LotMarker.YouAlreadyOwnAnotherLotOrHouse:	You already own another lot or house (Number {0}).
Housing.LotMarker.YouJustBoughtThisLotFor:		You just bought this lot for {0}!
Housing.LotMarker.YouDontHaveEnoughMoney:		You don't have enough money!
Housing.LotMarker.ThisItemCantBeSold:			This item can't be sold.
Housing.LotMarker.LotNotItem:					That is not a valid house deed.		

Scripts.Player.Housing.BadShieldBanner:			That is not a valid shield or banner object.
Scripts.Player.Housing.CarpetsRemoved:			Your carpets have been removed.
Scripts.Player.Housing.ClearHookPoint: 			Would you like to clear the current hookpoint?
Scripts.Player.Housing.GardenMaxObjects:		You have already placed 30 objects in your garden. You cannot place more.	
Scripts.Player.Housing.GuildNowOwns:			[Guild] {0} now owns a guild house from {1}!
Scripts.Player.Housing.NotOwner:				You do not own this house!
Scripts.Player.Housing.NotGuildLeader:			You are not the leader of a guild!
Scripts.Player.Housing.ConsignmentNotEmpty:		All items and money must be removed from your consignment merchant in order to transfer this house!
Scripts.Player.Housing.RentPaidFromBank:		{0} has been withdrawn from your bank account for your house rental payment.
Scripts.Player.Housing.GuildRentPaidFromBank:	{0} has been withdrawn from your guild bank for the guild house rental payment.
Scripts.Player.Housing.TargetLotMarker:			You must target a Lot Marker to purchase a deed.
Scripts.Player.Housing.MerchantListNotFound:	Unable to complete transaction: Merchant list not found.
Scripts.Player.Housing.GuildHouseEvicted:		[Housing] The Guild House at lot {0} has been repossessed by the realm due to unpaid rent!
Scripts.Player.Housing.PersonalHouseEvicted:	[Housing] Your house at lot {0} has been repossessed by the realm due to unpaid rent!
Scripts.Player.Housing.HookPointAdded:			That item has been added to your house.
Scripts.Player.Housing.HookPointAlready: 		That HookPoint already has an item!	
Scripts.Player.Housing.HookPointCleared: 		That HookPoint has been cleared.	
Scripts.Player.Housing.HookPointCloser:			Stand as close to the housepoint as possible and face the proper direction and press accept.
Scripts.Player.Housing.HookPointID:				The hookpoint ID is: {0}
Scripts.Player.Housing.HookPointLogged:			Logged hookpoint position {0}!
Scripts.Player.Housing.HookPointLogLoc:			Log this housepoint location?
Scripts.Player.Housing.HookPointNot:			That is not a hookpoint item!
Scripts.Player.Housing.HookPointNotPlaced:		That hookpoint item was not placed.	
Scripts.Player.Housing.HouseUseMaterials:		You need to hold shift+right-click on your house to change those materials.	
Scripts.Player.Housing.HouseUseCarpets:			You need to hold shift+right-click on your house to change your carpets.	
Scripts.Player.Housing.IndoorFloorPlaced:		You have placed {0} on the floor of your house.		
Scripts.Player.Housing.IndoorMaxItems:			You have already placed {0} in your house. You cannot place more.
Scripts.Player.Housing.IndoorWallPlaced:		You have placed {0} onto the wall of your house.	
Scripts.Player.Housing.InteriorBannersAdded:		Your interior guild banners have been changed.	
Scripts.Player.Housing.InteriorBannersRemoved:		Your interior guild banners have been removed.	
Scripts.Player.Housing.InteriorShieldsAdded:		Your interior guild shields have been changed.	
Scripts.Player.Housing.InteriorShieldsRemoved:		Your interior guild shields have been removed.	
Scripts.Player.Housing.NotFloorObject:			This item cannot be placed on the floor!
Scripts.Player.Housing.NotHookPoint:			This item cannot be placed on a hookpoint!
Scripts.Player.Housing.NotWallObject:			This item cannot be placed on a wall!
Scripts.Player.Housing.OutdoorBannersAdded:		Your outdoor guild banners have been changed.	
Scripts.Player.Housing.OutdoorBannersRemoved:		Your outdoor guild banners have been removed.	
Scripts.Player.Housing.OutdoorShieldsAdded:		Your outdoor guild shields have been changed.	
Scripts.Player.Housing.OutdoorShieldsRemoved:		Your outdoor guild shields have been removed.	
Scripts.Player.Housing.PorchNotItem:			This is not a porch item!
Scripts.Player.Housing.TransferToGuild:			Do you want to transfer this house to {0}?

